energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity
0.815,0.0996,109.966,0.0249,0.0707,0.00105,4,0.64,11,138818,-5.812,0.828,1,Chris Lane,Stop Coming Over,0
0.736,0.281,82.067,0.0867,0.0426,0.0,4,0.562,0,155498,-6.795,0.198,1,Token,IOD (feat. Lil Skies),0
0.542,0.0956,159.966,0.208,0.364,0.0,4,0.492,9,230696,-7.246,0.491,0,Ne-Yo,Stay Down (feat. Yung Bleu),0
0.402,0.2,103.674,0.0749,0.66,0.00059,4,0.557,10,321444,-8.33,0.138,1,Isaia Huron,One in a Million,27
0.479,0.118,149.876,0.0485,0.185,0.0,4,0.655,9,210822,-7.077,0.0929,1,Caspr,Snow,0
0.492,0.121,91.994,0.219,0.0768,0.0,4,0.797,1,127826,-9.879,0.313,1,Dro Kenji,FINDERS KEEPERS (feat. Scorey & Internet Money),0
0.731,0.126,123.993,0.0948,0.0162,0.0,4,0.676,8,165859,-5.325,0.753,0,Galantis,Alien,0
0.533,0.118,73.991,0.159,0.148,0.309,4,0.831,10,79550,-5.663,0.776,0,Benny Sings,Don't Look,0
0.634,0.508,121.926,0.0322,0.107,0.0125,4,0.575,0,154503,-8.651,0.532,1,dacelynn,tell me what you want,24
0.786,0.381,155.953,0.245,0.109,0.0,4,0.654,7,210009,-4.802,0.735,1,Doe Boy,Ain't My Fault (feat. 42 Dugg),0
0.838,0.257,161.983,0.181,0.00806,7.64e-05,4,0.765,1,223904,-6.045,0.143,1,Big Boi,Sucka Free,1
0.512,0.115,126.961,0.117,0.0199,0.0,4,0.634,10,188486,-7.123,0.264,0,A Boogie Wit da Hoodie,Be Free,0
0.714,0.195,109.997,0.0786,0.0148,0.0,4,0.833,4,199209,-4.951,0.782,1,Monsta X,You Problem,0
0.656,0.178,104.083,0.238,0.228,0.0134,4,0.736,1,159231,-7.031,0.223,0,R3HAB,I Wanna Run Away,0
0.655,0.12,117.525,0.11,0.0386,0.0,4,0.524,10,257465,-3.254,0.603,0,Earl Sweatshirt,Tabula Rasa (feat. Armand Hammer),0
0.895,0.0402,179.975,0.139,0.0524,0.0,4,0.587,5,231467,-1.591,0.697,0,NCT U,Universe (Let's Play Ball),0
0.828,0.194,82.495,0.033,0.0473,0.00186,4,0.399,7,252733,-5.713,0.158,0,Beach House,New Romance,44
0.811,0.164,90.076,0.0588,0.00251,0.0,4,0.606,1,124192,-4.785,0.578,1,Jack Kays,SIDEWAYS (with Travis Barker),0
0.704,0.0875,124.085,0.0638,0.0689,0.0,4,0.833,2,180909,-3.074,0.967,1,Jimmy Fallon,It Was A… (Masked Christmas) (feat. Ariana Grande & Megan Thee Stallion),58
0.768,0.0958,139.992,0.0652,0.222,0.0,4,0.611,9,226149,-6.311,0.298,1,Juice WRLD,Girl Of My Dreams (with SUGA of BTS),0
0.794,0.0755,100.005,0.0795,0.128,0.0,4,0.651,1,187004,-4.229,0.265,0,Andy Grammer,Love Myself,0
0.722,0.226,82.534,0.142,0.0733,0.0,4,0.753,11,131000,-3.716,0.906,1,Isabel LaRosa,GAMEBOY,22
0.248,0.0835,159.941,0.0355,0.436,0.0,3,0.398,5,220171,-10.832,0.199,1,Cian Ducrot,Happier Without Me,0
