energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,artist,track_name,popularity,success
0.546,0.122,106.891,0.0437,0.656,0.0,4,0.727,0,197333,-4.572,0.69,1,Gera MX,Botella Tras Botella,85,1
0.842,0.0599,114.029,0.0687,0.0872,8.22e-06,4,0.703,0,216540,-4.173,0.715,0,Calum Scott,Rise,72,1
0.684,0.219,139.984,0.0544,0.343,9.2e-06,4,0.787,5,178714,-7.162,0.785,0,Azahriah,El Barto,56,1
0.443,0.285,93.503,0.0263,0.212,0.000142,4,0.612,2,125341,-10.668,0.641,1,Björgvin Halldórsson,Snæfinnur snjókarl,36,1
0.355,0.135,123.007,0.0584,0.846,0.0,4,0.692,10,250000,-10.658,0.467,1,Jace Chan,隔離 - Studio Live Duet,50,1
0.772,0.316,91.751,0.0287,0.403,2.21e-06,4,0.529,2,181267,-7.013,0.853,1,The Ronettes,Sleigh Ride,76,1
0.447,0.382,78.861,0.045,0.234,0.0,4,0.448,6,251533,-7.161,0.299,0,Awesome City Club,勿忘,74,1
0.894,0.082,150.074,0.172,0.146,0.0,4,0.687,0,171200,-3.436,0.552,1,NOROZ,מגבת באוויר,58,1
0.159,0.362,104.95,0.0383,0.946,2.02e-05,4,0.83,1,207400,-14.461,0.189,1,Ed Maverick,Fuentes de Ortiz,82,1
0.744,0.074,124.08,0.0295,0.0404,0.00016,4,0.677,10,152913,-6.806,0.631,0,MEDUZA,Piece Of Your Heart,79,1
0.836,0.0828,139.956,0.0427,0.00609,0.000157,4,0.636,8,193253,-3.004,0.715,1,Fitz and The Tantrums,HandClap,67,1
0.931,0.752,153.649,0.181,0.00937,0.0,4,0.648,1,213067,-3.15,0.744,0,Black Eyed Peas,Pump It,77,1
0.628,0.165,159.946,0.0427,0.0339,4.76e-06,4,0.427,5,227184,-9.537,0.45,0,Frostrósir,Hugurinn fer hærra,40,1
0.806,0.156,110.042,0.0393,0.0828,0.0,4,0.805,6,222728,-3.589,0.682,0,Myke Towers,Experimento,85,1
0.586,0.79,116.971,0.0559,0.104,0.0,4,0.896,10,196653,-6.687,0.642,0,Roddy Ricch,The Box,85,1
0.805,0.203,93.982,0.0752,0.315,0.0,4,0.754,6,176133,-4.249,0.555,1,Ozuna,Vaina Loca,75,1
0.363,0.101,159.88,0.424,0.0402,0.0,4,0.759,0,190881,-9.34,0.677,1,Kinny Zimmer,Rozmazana kreska,71,1
0.456,0.142,105.05,0.0554,0.645,3.7e-06,4,0.768,2,137161,-9.803,0.421,1,Bruno X Spacc,Hátmasszázs,37,1
0.609,0.0344,114.988,0.0824,0.00801,8.15e-05,4,0.856,0,269667,-7.223,0.928,1,Mark Ronson,Uptown Funk (feat. Bruno Mars),84,1
0.425,0.055,85.896,0.0464,0.011,0.0,4,0.735,0,188174,-6.648,0.848,1,Niall Horan,Slow Hands,78,1
0.475,0.105,157.032,0.0611,0.845,0.801,4,0.718,7,230110,-11.469,0.678,1,Vaundy,踊り子,74,1
0.789,0.451,142.929,0.0722,0.0161,2.77e-06,4,0.71,4,131064,-3.874,0.717,1,Bazzi,Mine,78,1
0.815,0.0862,120.071,0.0439,0.00407,1.91e-06,4,0.582,4,236676,-6.318,0.17,0,5MIINUST,?mis sa tegid,44,1
0.77,0.118,125.905,0.149,0.176,1.1e-05,4,0.694,6,184560,-5.335,0.163,1,Dynoro,In My Mind,81,1
0.417,0.0789,112.008,0.0522,0.0295,0.0104,4,0.791,4,361528,-12.139,0.225,0,Ch'cco,Nkao Tempela,61,1
0.739,0.111,194.169,0.272,0.0285,0.0,4,0.319,0,230227,-5.74,0.449,1,Alessia Cara,Scars To Your Beautiful,81,1
0.741,0.337,124.925,0.0427,0.00544,0.0,4,0.702,9,187585,-5.33,0.646,1,BTS,Permission to Dance,81,1
0.445,0.14,92.018,0.0291,0.445,6.09e-06,4,0.656,1,229888,-11.652,0.389,0,Anson Lo 盧瀚霆,不可愛教主,58,1
0.688,0.368,126.604,0.133,0.24,0.000155,5,0.522,6,258223,-8.772,0.49,0,Calema,Te Amo,58,1
0.884,0.407,98.002,0.0534,0.382,0.00114,4,0.637,1,231121,-3.444,0.521,1,Franciskao Diex,Señorita Bonita,37,1
0.796,0.0684,109.995,0.216,0.464,1.21e-06,4,0.854,9,164000,-5.871,0.382,0,UZI,PAPARAZZI,80,1
0.744,0.0713,84.005,0.227,0.268,0.0,4,0.867,2,173288,-5.171,0.645,1,NLE Choppa,Walk Em Down (feat. Roddy Ricch),73,1
0.512,0.0928,104.957,0.0331,0.483,0.0,3,0.716,1,165907,-6.257,0.326,1,Sia,Snowman,88,1
0.594,0.152,171.854,0.0789,0.0626,5.14e-05,4,0.672,1,169248,-6.813,0.158,0,Bad Bunny,Si Estuviésemos Juntos,83,1
0.649,0.175,120.003,0.0338,0.355,0.00155,4,0.515,4,243413,-6.278,0.35,1,Fourtwnty,"Zona Nyaman (From ""Filosofi Kopi 2: Ben & Jody"")",62,1
0.728,0.257,102.99,0.0621,0.0509,1.94e-06,4,0.781,1,219306,-4.981,0.395,1,Rihanna,Bitch Better Have My Money,76,1
0.713,0.294,121.993,0.0594,0.04,3.11e-06,4,0.699,9,205920,-5.507,0.354,0,Ariana Grande,no tears left to cry,80,1
0.694,0.0585,145.041,0.363,0.168,0.0,4,0.866,1,213594,-5.222,0.649,0,Ziak,Fixette - Bonus,74,1
0.538,0.138,188.012,0.0318,0.0479,7.02e-05,3,0.467,8,278787,-8.784,0.227,1,Haloo Helsinki!,Joulun kanssas jaan (feat. Cantores Minores),58,1
0.625,0.133,149.921,0.0584,0.288,0.0,3,0.489,9,230876,-6.497,0.439,0,Manan Bhardwaj,"Shiddat Title Track (From ""Shiddat"")",63,1
0.736,0.235,159.173,0.229,0.0528,0.0,4,0.65,6,226160,-5.84,0.613,0,Ariana Grande,Side To Side,11,1
0.879,0.244,146.959,0.129,0.124,1.17e-05,4,0.727,9,238144,-1.167,0.671,1,aespa,Savage,83,1
